#,Equipo,22,23,24,Pts,PJ,Prom
1,River Plate,76,85,30,191,97,1.969
2,Boca Juniors,79,62,25,166,97,1.711
3,Racing Club,80,60,25,165,97,1.701
4,Estudiantes (LP),61,62,30,153,97,1.577
5,Argentinos,67,54,29,150,97,1.546
6,Def y Justicia,65,58,26,149,97,1.536
7,Godoy Cruz,51,63,29,143,97,1.474
8,Newells,63,53,24,140,97,1.443
9,Talleres (C),46,67,27,140,97,1.443
10,San Lorenzo,58,64,16,138,97,1.422
11,Huracan,65,51,19,135,97,1.391
12,Barracas Central,53,49,29,131,97,1.350
13,Gimnasia (LP),65,45,19,129,97,1.329
14,Rosario Central,46,65,15,126,97,1.298
15,Independiente,51,51,23,125,97,1.288
16,Belgrano,0,57,15,72,56,1.285
17,Instituto,0,52,20,72,56,1.285
18,Atl Tucuman,57,54,13,124,97,1.278
19,Velez,46,49,25,120,97,1.237
20,Banfield,49,53,17,119,97,1.226
21,Union,49,46,23,118,97,1.216
22,Lanus,36,57,23,116,97,1.195
23,Tigre,63,47,5,115,97,1.185
24,Platense,42,54,18,114,97,1.175
25,Central Cba (SdE),49,48,11,108,97,1.113
26,Sarmiento (J),53,46,9,108,97,1.113
27,Riestra,0,0,16,16,15,1.066
28,Ind Rivadavia,0,0,11,11,15,0.733
